attribute_name,description,sample_values,label
linkedin_recruiter_license,Licensed LinkedIn Recruiter seat credentials,LI_REC_001||LI_REC_002||LI_REC_003||LI_REC_004||LI_REC_005,Licensed Data
bonus_projections,Confidential compensation forecasts,15000USD||25000USD||35000USD||45000USD||55000USD,Confidential Information
racial_demographic,Employee racial/ethnic information,ASIAN||CAUCASIAN||AFRICAN_AMERICAN||HISPANIC||NATIVE_AMERICAN,Sensitive PII
department_code,Internal department identifier,DEPT_001||DEPT_002||DEPT_003||DEPT_004||DEPT_005,Non-Sensitive PII
background_check_data,Criminal history verification results,NO_RECORD||MINOR_OFFENSE||CLEARED||PENDING||FLAGGED,Sensitive PII
hr_analytics_license,Licensed HR analytics platform access,ANALYTICS_001||ANALYTICS_002||ANALYTICS_003||ANALYTICS_004||ANALYTICS_005,Licensed Data
succession_plans,Confidential leadership planning data,EXEC_TRACK||MGMT_TRACK||SPECIALIST||HIGH_POTENTIAL||DEVELOPING,Confidential Information
emergency_contact,Emergency contact information,CONTACT_001||CONTACT_002||CONTACT_003||CONTACT_004||CONTACT_005,Non-Sensitive PII
health_insurance_status,Employee health coverage information,FULL_FAMILY||EMPLOYEE_SPOUSE||EMPLOYEE_ONLY||OPTED_OUT||COBRA,Sensitive PII
severance_packages,Confidential termination agreements,SEV_PKG_1||SEV_PKG_2||SEV_PKG_3||SEV_PKG_4||SEV_PKG_5,Confidential Information
portfolio_strategy,Confidential investment strategy details,LONG_TERM_GROWTH||HIGH_YIELD_INCOME||AGGRESSIVE_GROWTH||VALUE_INVESTING||MARKET_NEUTRAL,Confidential Information
client_passport_number,International client identification,P123456||P234567||P345678||P456789||P567890,Sensitive PII
bloomberg_market_data,Licensed Bloomberg market feed data,BBG_FEED_001||BBG_FEED_002||BBG_FEED_003||BBG_FEED_004||BBG_FEED_005,Licensed Data
portfolio_manager_name,Name of authorized portfolio manager,Alex Johnson||Maria Rodriguez||Tom Wilson||Sarah Chang||James Murphy,Non-Sensitive PII
investment_algorithms,Proprietary trading algorithm details,ALGO_MOMENTUM_V1||ALGO_REVERSION_V2||ALGO_ARBITRAGE_V3||ALGO_SENTIMENT_V4||ALGO_VOLATILITY_V5,Confidential Information
credit_score,Client credit rating information,750_EXCELLENT||680_GOOD||620_FAIR||590_POOR||550_VERY_POOR,Sensitive PII
refinitiv_eikon_data,Licensed Refinitiv market data feed,REF_DATA_001||REF_DATA_002||REF_DATA_003||REF_DATA_004||REF_DATA_005,Licensed Data
hedge_positions,Current hedging strategy details,LONG_SPY_SHORT_QQQ||LONG_GOLD_SHORT_USD||OPTIONS_STRADDLE_SPX||FUTURES_HEDGE_OIL||FOREX_HEDGE_EURUSD,Confidential Information
manager_email,Portfolio manager contact email,alex.j@invest.com||maria.r@invest.com||tom.w@invest.com||sarah.c@invest.com||james.m@invest.com,Non-Sensitive PII
bank_account_details,Client banking information with access codes,BANK_ACC_001_CODE||BANK_ACC_002_CODE||BANK_ACC_003_CODE||BANK_ACC_004_CODE||BANK_ACC_005_CODE,Sensitive PII
factset_research_data,Licensed FactSet research content,FS_RESEARCH_001||FS_RESEARCH_002||FS_RESEARCH_003||FS_RESEARCH_004||FS_RESEARCH_005,Licensed Data
risk_models,Proprietary risk assessment models,RISK_MODEL_VAR||RISK_MODEL_BETA||RISK_MODEL_SHARPE||RISK_MODEL_SORTINO||RISK_MODEL_TREYNOR,Confidential Information
client_location,Client geolocation data,40.7128_-74.0060||51.5074_-0.1278||35.6762_139.6503||22.3193_114.1694||1.3521_103.8198,Sensitive PII
morningstar_ratings,Licensed Morningstar fund ratings,FIVE_STAR||FOUR_STAR||THREE_STAR||TWO_STAR||ONE_STAR,Licensed Data
trading_limits,Internal position size limits,MAX_5M_EQUITY||MAX_2M_OPTIONS||MAX_10M_FUTURES||MAX_3M_FOREX||MAX_1M_CRYPTO,Confidential Information
investment_advisor_id,Advisor identification number,ADV001||ADV002||ADV003||ADV004||ADV005,Non-Sensitive PII
biometric_login,Biometric authentication data for trading platform,FINGERPRINT_HASH_001||FACE_ID_002||RETINA_SCAN_003||VOICE_PRINT_004||PALM_SCAN_005,Sensitive PII
s&p_global_data,Licensed S&P Global market data,SP_DATA_001||SP_DATA_002||SP_DATA_003||SP_DATA_004||SP_DATA_005,Licensed Data
fund_performance,Confidential fund performance metrics,RETURN_15PCT||RETURN_12PCT||RETURN_18PCT||RETURN_9PCT||RETURN_22PCT,Confidential Information
margin_positions,Client margin account details,MARGIN_50K_LOAN||MARGIN_100K_LOAN||MARGIN_250K_LOAN||MARGIN_500K_LOAN||MARGIN_1M_LOAN,Sensitive PII
compliance_officer_name,Name of compliance team member,Robert Smith||Jane Wilson||Michael Lee||Lisa Chen||David Miller,Non-Sensitive PII
client_kyc_documents,Confidential Know Your Customer verification data,KYC_VERIFIED_001||KYC_PENDING_002||KYC_REVIEW_003||KYC_APPROVED_004||KYC_UPDATED_005,Confidential Information
regulatory_license_key,Licensed regulatory reporting platform access,REG_KEY_001||REG_KEY_002||REG_KEY_003||REG_KEY_004||REG_KEY_005,Licensed Data
driver_license_number,Government-issued identification for KYC,DL123456||DL234567||DL345678||DL456789||DL567890,Sensitive PII
risk_assessment_model,Proprietary risk evaluation methodology,RISK_SCORE_A1||RISK_SCORE_B2||RISK_SCORE_C3||RISK_SCORE_D4||RISK_SCORE_E5,Confidential Information
aml_screening_data,Licensed AML screening service data,AML_DATA_001||AML_DATA_002||AML_DATA_003||AML_DATA_004||AML_DATA_005,Licensed Data
transaction_patterns,Confidential transaction monitoring alerts,PATTERN_HIGH_RISK||PATTERN_SUSPICIOUS||PATTERN_UNUSUAL||PATTERN_REGULAR||PATTERN_CLEARED,Confidential Information
officer_id,Compliance officer identification number,CO001||CO002||CO003||CO004||CO005,Non-Sensitive PII
client_criminal_record,Background check results for clients,NO_RECORD||MINOR_OFFENSE||CLEARED||FLAGGED||PENDING_REVIEW,Sensitive PII
lexisnexis_data,Licensed LexisNexis compliance data feed,LEX_001||LEX_002||LEX_003||LEX_004||LEX_005,Licensed Data
investigation_status,Confidential compliance investigation details,OPEN||UNDER_REVIEW||PENDING_DOCS||ESCALATED||CLOSED,Confidential Information
employee_login_creds,System access credentials with encryption,LOGIN_HASH_001||LOGIN_HASH_002||LOGIN_HASH_003||LOGIN_HASH_004||LOGIN_HASH_005,Sensitive PII
thomson_reuters_watch,Licensed World-Check screening data,WATCH_001||WATCH_002||WATCH_003||WATCH_004||WATCH_005,Licensed Data
risk_exposure_limits,Internal risk threshold configurations,LIMIT_1M||LIMIT_5M||LIMIT_10M||LIMIT_20M||LIMIT_50M,Confidential Information
compliance_email,Official compliance contact email,comp1@firm.com||comp2@firm.com||comp3@firm.com||comp4@firm.com||comp5@firm.com,Non-Sensitive PII
client_credit_data,Financial credit history information,SCORE_800||SCORE_750||SCORE_700||SCORE_650||SCORE_600,Sensitive PII
dow_jones_data,Licensed Dow Jones risk data feed,DJ_RISK_001||DJ_RISK_002||DJ_RISK_003||DJ_RISK_004||DJ_RISK_005,Licensed Data
audit_findings,Confidential internal audit results,FINDING_CRITICAL||FINDING_HIGH||FINDING_MEDIUM||FINDING_LOW||FINDING_NONE,Confidential Information
employee_department,Department assignment information,COMPLIANCE||RISK||LEGAL||OPERATIONS||AUDIT,Non-Sensitive PII
system_access_logs,Secure system access history with credentials,ACCESS_LOG_001||ACCESS_LOG_002||ACCESS_LOG_003||ACCESS_LOG_004||ACCESS_LOG_005,Sensitive PII
trader_contact,Basic contact information of trader,John Lee||Sarah Kim||Mike Chen||Emma Davis||Tom Wilson,Non-Sensitive PII
options_strategy,Proprietary options trading methodology,BUTTERFLY_SPREAD||IRON_CONDOR||COVERED_CALL||VERTICAL_SPREAD||STRADDLE_STRATEGY,Confidential Information
market_data_license,Licensed exchange data feed credentials,NYSE_FEED_001||CME_FEED_002||CBOE_FEED_003||ICE_FEED_004||EUREX_FEED_005,Licensed Data
trader_biometrics,Biometric trading system access data,FINGER_SCAN_001||RETINA_ID_002||VOICE_PRINT_003||FACE_MAP_004||PALM_SCAN_005,Sensitive PII
derivatives_model,Proprietary derivatives pricing models,BLACK_SCHOLES_V2||MONTE_CARLO_V3||BINOMIAL_V2||HESTON_V1||VARIANCE_GAMMA_V2,Confidential Information
credit_card_data,Trader corporate card information,CARD_4589_CODE||CARD_3267_CODE||CARD_7891_CODE||CARD_2345_CODE||CARD_6789_CODE,Sensitive PII
ice_futures_data,Licensed ICE futures market data,ICE_DATA_001||ICE_DATA_002||ICE_DATA_003||ICE_DATA_004||ICE_DATA_005,Licensed Data
position_book,Current derivatives position details,EQUITY_OPTIONS||INDEX_FUTURES||COMMODITY_SWAPS||FX_OPTIONS||INTEREST_RATE_SWAPS,Confidential Information
desk_location,Trading desk identification code,DESK_NY_001||DESK_LN_002||DESK_TK_003||DESK_HK_004||DESK_SG_005,Non-Sensitive PII
login_credentials,Trading platform access credentials,LOGIN_HASH_001||LOGIN_HASH_002||LOGIN_HASH_003||LOGIN_HASH_004||LOGIN_HASH_005,Sensitive PII
cme_market_data,Licensed CME Group market feed,CME_FEED_001||CME_FEED_002||CME_FEED_003||CME_FEED_004||CME_FEED_005,Licensed Data
margin_requirements,Internal margin calculation rules,MARGIN_50PCT||MARGIN_75PCT||MARGIN_100PCT||MARGIN_125PCT||MARGIN_150PCT,Confidential Information
trader_id_badge,Employee identification number,TD001||TD002||TD003||TD004||TD005,Non-Sensitive PII
banking_details,Trader bank account information,BANK_ACC_001_SEC||BANK_ACC_002_SEC||BANK_ACC_003_SEC||BANK_ACC_004_SEC||BANK_ACC_005_SEC,Sensitive PII
refinitiv_options_data,Licensed Refinitiv options analytics,REF_OPT_001||REF_OPT_002||REF_OPT_003||REF_OPT_004||REF_OPT_005,Licensed Data
volatility_surface,Proprietary volatility calculations,VOL_SURFACE_1||VOL_SURFACE_2||VOL_SURFACE_3||VOL_SURFACE_4||VOL_SURFACE_5,Confidential Information
work_schedule,Trader shift schedule information,SHIFT_A||SHIFT_B||SHIFT_C||SHIFT_D||SHIFT_E,Non-Sensitive PII
driver_license,Government ID for facility access,DL789012||DL890123||DL901234||DL012345||DL123456,Sensitive PII
cboe_market_feed,Licensed CBOE market data stream,CBOE_DATA_001||CBOE_DATA_002||CBOE_DATA_003||CBOE_DATA_004||CBOE_DATA_005,Licensed Data
risk_limits,Confidential trading limit parameters,LIMIT_1M_USD||LIMIT_5M_USD||LIMIT_10M_USD||LIMIT_20M_USD||LIMIT_50M_USD,Confidential Information
fx_trader_name,Name of foreign exchange trader,Mark Johnson||Lisa Zhang||Ryan Patel||Anna Kim||James Wilson,Non-Sensitive PII
geo_loc_data,Precise geolocation of trading activity,40.7589_-73.9851||51.5074_-0.1278||35.6762_139.6503||22.3193_114.1694||1.3521_103.8198,Sensitive PII
reuters_fx_feed,Licensed Reuters FX market data feed,RFX_001||RFX_002||RFX_003||RFX_004||RFX_005,Licensed Data
prop_strat_fx,Proprietary FX trading strategies,CARRY_TRADE_V1||MOMENTUM_V2||GRID_TRADING_V3||SCALPING_V4||HEDGING_V5,Confidential Information
ssn_id,Social security identification number,123-45-6789||234-56-7890||345-67-8901||456-78-9012||567-89-0123,Sensitive PII
emp_contact,Employee contact information,trader1@fx.com||trader2@fx.com||trader3@fx.com||trader4@fx.com||trader5@fx.com,Non-Sensitive PII
bloomberg_fxgo,Licensed Bloomberg FXGO platform data,BFXGO_001||BFXGO_002||BFXGO_003||BFXGO_004||BFXGO_005,Licensed Data
trading_exposure,Confidential currency exposure limits,EUR_50M||USD_75M||JPY_8B||GBP_30M||AUD_45M,Confidential Information
biometric_auth,Biometric authentication records,FINGER_ID_001||RETINA_ID_002||FACE_ID_003||VOICE_ID_004||PALM_ID_005,Sensitive PII
desk_code,FX trading desk identifier,FX_SPOT_01||FX_FWD_02||FX_OPT_03||FX_SWAP_04||FX_NDF_05,Non-Sensitive PII
factset_fx_data,Licensed FactSet FX analytics feed,FFX_DATA_001||FFX_DATA_002||FFX_DATA_003||FFX_DATA_004||FFX_DATA_005,Licensed Data
pos_book_fx,Confidential FX position book details,SPOT_EUR_USD||FWD_GBP_JPY||SWAP_AUD_USD||OPT_USD_CAD||NDF_USD_CNH,Confidential Information
secure_creds,Trading platform login credentials,LOGIN_HASH_001||LOGIN_HASH_002||LOGIN_HASH_003||LOGIN_HASH_004||LOGIN_HASH_005,Sensitive PII
emp_id,Employee identification number,EMP001||EMP002||EMP003||EMP004||EMP005,Non-Sensitive PII
ice_fx_stream,Licensed ICE FX market data stream,ICE_FX_001||ICE_FX_002||ICE_FX_003||ICE_FX_004||ICE_FX_005,Licensed Data
risk_model_fx,Proprietary FX risk assessment models,VAR_MODEL_01||STRESS_TEST_02||SCENARIO_03||CORRELATION_04||VOLATILITY_05,Confidential Information
japan_my_num,Japan-specific identification number,JPN123456||JPN234567||JPN345678||JPN456789||JPN567890,Sensitive PII
terminal_id,Trading terminal identification,TERM_001||TERM_002||TERM_003||TERM_004||TERM_005,Non-Sensitive PII
refinitiv_feed,Licensed Refinitiv FX data feed,RFD_001||RFD_002||RFD_003||RFD_004||RFD_005,Licensed Data
client_orders,Confidential client order information,ORDER_BUY_EUR||ORDER_SELL_USD||ORDER_BUY_GBP||ORDER_SELL_JPY||ORDER_BUY_AUD,Confidential Information
fi_analyst_name,Fixed income analyst name,Peter Chen||Maya Patel||Sam Wilson||Rachel Kim||Alex Thompson,Non-Sensitive PII
acct_num_sec,Account numbers with security codes,ACC123_SEC456||ACC234_SEC567||ACC345_SEC678||ACC456_SEC789||ACC567_SEC890,Sensitive PII
moodys_data_feed,Licensed Moody's bond rating data,MDY_FEED_001||MDY_FEED_002||MDY_FEED_003||MDY_FEED_004||MDY_FEED_005,Licensed Data
bond_strat_model,Proprietary bond trading strategy,YIELD_CURVE_V1||DURATION_PLAY_V2||CREDIT_SPREAD_V3||CURVE_STEEPENER_V4||BUTTERFLY_V5,Confidential Information
rrn_kr,Korean resident registration number,KR12345678||KR23456789||KR34567890||KR45678901||KR56789012,Sensitive PII
work_email,Employee work email address,p.chen@fi.com||m.patel@fi.com||s.wilson@fi.com||r.kim@fi.com||a.thompson@fi.com,Non-Sensitive PII
fitch_ratings_api,Licensed Fitch ratings data access,FITCH_001||FITCH_002||FITCH_003||FITCH_004||FITCH_005,Licensed Data
yield_curve_pred,Confidential yield curve predictions,UST_2Y_3.5||UST_5Y_4.2||UST_10Y_4.8||UST_20Y_5.1||UST_30Y_5.3,Confidential Information
sys_cred,System login credentials encrypted,HASH_CRED_001||HASH_CRED_002||HASH_CRED_003||HASH_CRED_004||HASH_CRED_005,Sensitive PII
desk_identifier,Fixed income desk identifier code,FI_GOVT_01||FI_CORP_02||FI_HY_03||FI_EM_04||FI_STRUCT_05,Non-Sensitive PII
spglobal_bond_data,Licensed S&P Global bond data,SPG_BOND_001||SPG_BOND_002||SPG_BOND_003||SPG_BOND_004||SPG_BOND_005,Licensed Data
trade_positions,Confidential bond position details,UST_LONG_10Y||CORP_SHORT_5Y||HY_LONG_3Y||EM_SHORT_7Y||TIPS_LONG_15Y,Confidential Information
bio_auth_data,Biometric authentication data,BIO_FINGER_001||BIO_FACE_002||BIO_VOICE_003||BIO_IRIS_004||BIO_PALM_005,Sensitive PII
trader_id,Trader identification code,TRD001||TRD002||TRD003||TRD004||TRD005,Non-Sensitive PII
markit_iboxx,Licensed IBoxx index data feed,IBOXX_001||IBOXX_002||IBOXX_003||IBOXX_004||IBOXX_005,Licensed Data
client_port_data,Confidential client portfolio details,PORT_GOVT_1||PORT_CORP_2||PORT_HY_3||PORT_EM_4||PORT_STRUCT_5,Confidential Information
health_info,Employee health insurance data,HEALTH_A1||HEALTH_B2||HEALTH_C3||HEALTH_D4||HEALTH_E5,Sensitive PII
emp_location,Employee office location code,LOC_NY||LOC_LN||LOC_TK||LOC_HK||LOC_SG,Non-Sensitive PII
bloomberg_feed,Licensed Bloomberg terminal data,BBG_FI_001||BBG_FI_002||BBG_FI_003||BBG_FI_004||BBG_FI_005,Licensed Data
risk_limits_fi,Confidential fixed income risk limits,LIMIT_UST_50M||LIMIT_CORP_30M||LIMIT_HY_20M||LIMIT_EM_25M||LIMIT_STRUCT_15M,Confidential Information
analyst_business_title,Professional title of IB analyst,Associate Director||Vice President||Executive Director||Managing Director||Senior Analyst,Non-Sensitive PII
passport_details,International identification numbers,P123456789||P234567890||P345678901||P456789012||P567890123,Sensitive PII
thomson_dealware,Licensed Thomson Reuters deal data,TR_DEAL_001||TR_DEAL_002||TR_DEAL_003||TR_DEAL_004||TR_DEAL_005,Licensed Data
merger_strategy,Confidential M&A strategy details,HOSTILE_TAKEOVER_1||FRIENDLY_MERGE_2||ASSET_SALE_3||SPINOFF_4||LBO_PLAN_5,Confidential Information
bank_acc_secure,Bank account with security codes,BACC123_SEC456||BACC234_SEC567||BACC345_SEC678||BACC456_SEC789||BACC567_SEC890,Sensitive PII
work_phone_number,Office contact number,212-555-0101||212-555-0102||212-555-0103||212-555-0104||212-555-0105,Non-Sensitive PII
dealogic_ma_data,Licensed Dealogic M&A database,DEAL_001||DEAL_002||DEAL_003||DEAL_004||DEAL_005,Licensed Data
valuation_models,Confidential company valuation data,DCF_MODEL_1||LBO_MODEL_2||COMP_MODEL_3||MERGER_MODEL_4||SUM_PARTS_5,Confidential Information
access_credentials,System login authentication details,AUTH_HASH_001||AUTH_HASH_002||AUTH_HASH_003||AUTH_HASH_004||AUTH_HASH_005,Sensitive PII
business_email,Corporate email address,analyst1@ib.com||analyst2@ib.com||analyst3@ib.com||analyst4@ib.com||analyst5@ib.com,Non-Sensitive PII
pitchbook_data,Licensed Pitchbook market data,PB_DATA_001||PB_DATA_002||PB_DATA_003||PB_DATA_004||PB_DATA_005,Licensed Data
deal_pipeline,Confidential upcoming deal information,IPO_TECH_1||M&A_HEALTH_2||PE_DEAL_3||SPAC_4||DEBT_RAISE_5,Confidential Information
credit_history,Financial credit records data,FICO_750||FICO_800||FICO_680||FICO_720||FICO_780,Sensitive PII
employee_department,Department assignment information,IB_M&A||IB_ECM||IB_DCM||IB_ADV||IB_SYND,Non-Sensitive PII
bloomberg_ma_feed,Licensed Bloomberg M&A data feed,BBG_MA_001||BBG_MA_002||BBG_MA_003||BBG_MA_004||BBG_MA_005,Licensed Data
board_materials,Confidential board presentation data,BOARD_DECK_1||BOARD_MEMO_2||BOARD_MINUTES_3||BOARD_STRAT_4||BOARD_VOTE_5,Confidential Information
health_records,Employee medical information data,HEALTH_REC_001||HEALTH_REC_002||HEALTH_REC_003||HEALTH_REC_004||HEALTH_REC_005,Sensitive PII
office_location,Work location of employee,Floor 10||Floor 11||Floor 12||Floor 14||Floor 15,Non-Sensitive PII
factset_research,Licensed FactSet research data,FS_RES_001||FS_RES_002||FS_RES_003||FS_RES_004||FS_RES_005,Licensed Data
synergy_analysis,Confidential merger synergy calculations,COST_SYN_1||REV_SYN_2||OP_SYN_3||TAX_SYN_4||TECH_SYN_5,Confidential Information
researcher_name,Name of equity research analyst,David Smith||Julia Park||Andrew Chen||Maria Garcia||Tom Wilson,Non-Sensitive PII
racial_demographics,Analyst demographic information,ASIAN||CAUCASIAN||HISPANIC||AFRICAN_AMERICAN||PACIFIC_ISLANDER,Sensitive PII
factset_equity_data,Licensed FactSet equity research feed,FDS_EQ_001||FDS_EQ_002||FDS_EQ_003||FDS_EQ_004||FDS_EQ_005,Licensed Data
research_models,Confidential equity valuation models,DCF_TECH_1||PE_RETAIL_2||EV_HEALTH_3||SOTP_IND_4||WACC_FIN_5,Confidential Information
login_auth_data,System authentication credentials,AUTH_CODE_001||AUTH_CODE_002||AUTH_CODE_003||AUTH_CODE_004||AUTH_CODE_005,Sensitive PII
work_extension,Office phone extension number,EXT_1001||EXT_1002||EXT_1003||EXT_1004||EXT_1005,Non-Sensitive PII
thomson_research,Licensed Thomson Reuters research,TR_RES_001||TR_RES_002||TR_RES_003||TR_RES_004||TR_RES_005,Licensed Data
earnings_forecast,Confidential company earnings predictions,AAPL_Q1_EST||MSFT_Q2_EST||GOOGL_Q3_EST||AMZN_Q4_EST||META_Q1_EST,Confidential Information
japan_residence,Japan-specific domicile information,JPN_DOM_001||JPN_DOM_002||JPN_DOM_003||JPN_DOM_004||JPN_DOM_005,Sensitive PII
analyst_contact,Business contact information,analyst1@research.com||analyst2@research.com||analyst3@research.com||analyst4@research.com||analyst5@research.com,Non-Sensitive PII
bloomberg_feed,Licensed Bloomberg market data,BBG_DATA_001||BBG_DATA_002||BBG_DATA_003||BBG_DATA_004||BBG_DATA_005,Licensed Data
stock_ratings,Confidential stock recommendation data,STRONG_BUY_A||BUY_B||HOLD_C||SELL_D||STRONG_SELL_E,Confidential Information
health_status,Employee health condition records,CONDITION_A||CONDITION_B||CONDITION_C||CONDITION_D||CONDITION_E,Sensitive PII
desk_location,Analyst desk assignment,DESK_A1||DESK_B2||DESK_C3||DESK_D4||DESK_E5,Non-Sensitive PII
visible_alpha,Licensed Visible Alpha research data,VA_DATA_001||VA_DATA_002||VA_DATA_003||VA_DATA_004||VA_DATA_005,Licensed Data
client_meetings,Confidential client interaction notes,CLIENT_MEET_1||CLIENT_MEET_2||CLIENT_MEET_3||CLIENT_MEET_4||CLIENT_MEET_5,Confidential Information
credit_card_sec,Corporate card with security code,CARD_1234_SEC||CARD_2345_SEC||CARD_3456_SEC||CARD_4567_SEC||CARD_5678_SEC,Sensitive PII
employee_grade,Staff grade level information,GRADE_1||GRADE_2||GRADE_3||GRADE_4||GRADE_5,Non-Sensitive PII
morningstar_data,Licensed Morningstar equity data,MS_EQ_001||MS_EQ_002||MS_EQ_003||MS_EQ_004||MS_EQ_005,Licensed Data
research_pipeline,Confidential upcoming research reports,TECH_SECTOR_1||HEALTH_SECTOR_2||FIN_SECTOR_3||RETAIL_SECTOR_4||IND_SECTOR_5,Confidential Information
structurer_name,Name of product structurer,Alan Wong||Nina Patel||Chris Miller||Sophie Chen||Mark Johnson,Non-Sensitive PII
sys_biometric,Biometric system access data,RETINA_HASH_001||FINGER_HASH_002||FACE_HASH_003||VOICE_HASH_004||PALM_HASH_005,Sensitive PII
superderivatives_data,Licensed SuperDerivatives pricing feed,SD_PRICE_001||SD_PRICE_002||SD_PRICE_003||SD_PRICE_004||SD_PRICE_005,Licensed Data
pricing_models,Confidential derivative pricing algorithms,BLACK_SCHOLES_1||MONTE_CARLO_2||HESTON_3||DUPIRE_4||SABR_5,Confidential Information
kr_rrn_masked,Korean resident registration number,KR_MASK_001||KR_MASK_002||KR_MASK_003||KR_MASK_004||KR_MASK_005,Sensitive PII
business_phone,Office telephone number,555-0201||555-0202||555-0203||555-0204||555-0205,Non-Sensitive PII
markit_derivatives,Licensed Markit derivatives data,MKT_DER_001||MKT_DER_002||MKT_DER_003||MKT_DER_004||MKT_DER_005,Licensed Data
product_pipeline,Confidential structured product plans,AUTOCALL_1||SNOWBALL_2||BARRIER_3||RAINBOW_4||HYBRID_5,Confidential Information
access_pin,System PIN with security code,PIN_SEC_001||PIN_SEC_002||PIN_SEC_003||PIN_SEC_004||PIN_SEC_005,Sensitive PII
employee_title,Job title of employee,Associate||VP||Director||MD||Analyst,Non-Sensitive PII
bloomberg_exotics,Licensed Bloomberg exotic options data,BBG_EXO_001||BBG_EXO_002||BBG_EXO_003||BBG_EXO_004||BBG_EXO_005,Licensed Data
risk_scenarios,Confidential stress test scenarios,STRESS_VOL_1||STRESS_RATE_2||STRESS_FX_3||STRESS_CREDIT_4||STRESS_CORR_5,Confidential Information
medical_leave,Health-related leave status data,MED_LEAVE_001||MED_LEAVE_002||MED_LEAVE_003||MED_LEAVE_004||MED_LEAVE_005,Sensitive PII
corp_email,Corporate email address,struct1@bank.com||struct2@bank.com||struct3@bank.com||struct4@bank.com||struct5@bank.com,Non-Sensitive PII
